                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0265,                 2.4691,                 1.3433,                0.00372,                0.94316,                0.30348,                0.21009,                0.95914,                 2.9593,                 1.4077,             0.00054211,             0.00054211,             0.00054211
                      2,                 1.1005,                 1.8487,                 1.3644,                0.88423,                0.08451,                0.43195,                0.21545,                 1.1856,                 2.5716,                  1.614,              0.0010869,              0.0010869,              0.0010869
                      3,                  1.151,                 1.7102,                 1.3725,                0.46489,                0.39367,                0.31805,                0.14578,                 1.5226,                 2.2431,                 2.1723,              0.0016207,              0.0016207,              0.0016207
                      4,                 1.1507,                 1.5161,                  1.361,                0.38203,                0.36066,                0.32244,                0.16032,                 1.3801,                 2.2046,                 1.6572,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1435,                 1.4036,                 1.3548,                0.76403,                0.34155,                0.34521,                0.21711,                 1.3074,                   1.96,                 1.6984,               0.001601,               0.001601,               0.001601
                      6,                 1.1212,                 1.3361,                 1.3443,                0.41514,                0.52414,                0.39879,                0.20856,                 1.3846,                 1.8771,                 1.7248,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.0976,                 1.2091,                 1.3117,                0.50333,                0.52314,                 0.4911,                0.27873,                 1.2091,                 1.6934,                 1.6175,               0.001568,               0.001568,               0.001568
                      8,                 1.1156,                 1.1924,                 1.3201,                0.76767,                0.58099,                0.64248,                0.39103,                 1.0578,                 1.2558,                 1.3987,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0391,                 1.0681,                 1.2878,                0.67744,                0.61837,                0.62136,                0.36557,                 1.0349,                 1.1814,                 1.3688,               0.001535,               0.001535,               0.001535
                     10,                 1.0687,                 1.0287,                 1.2772,                0.58812,                0.53531,                0.53282,                0.32716,                 1.1229,                 1.3973,                 1.4379,              0.0015185,              0.0015185,              0.0015185
                     11,                0.97904,                0.93536,                 1.2294,                0.54642,                0.70982,                0.66411,                0.40577,                 1.1545,                 1.0663,                 1.4777,               0.001502,               0.001502,               0.001502
                     12,                 1.0389,                0.96126,                  1.269,                  0.706,                0.60938,                0.57904,                0.34982,                 1.0716,                 1.0548,                 1.3765,              0.0014855,              0.0014855,              0.0014855
                     13,                0.98196,                0.89296,                 1.2402,                0.79184,                 0.6333,                0.72551,                0.45969,                0.91594,                 1.0332,                 1.2584,               0.001469,               0.001469,               0.001469
                     14,                0.95646,                0.87477,                 1.2225,                0.78107,                0.73801,                0.78574,                0.50388,                0.92432,                0.97354,                 1.2612,              0.0014525,              0.0014525,              0.0014525
                     15,                0.93171,                 0.8547,                 1.2048,                 0.7796,                0.72586,                0.73167,                0.44917,                0.93933,                0.87856,                 1.3093,               0.001436,               0.001436,               0.001436
                     16,                0.95705,                0.84355,                 1.2269,                 0.7785,                0.81891,                0.76518,                0.48456,                0.94594,                0.92183,                 1.2591,              0.0014195,              0.0014195,              0.0014195
                     17,                0.96736,                0.80664,                 1.2024,                0.60114,                0.80217,                0.72968,                0.47189,                0.87657,                 1.0019,                 1.2263,              0.0014029,              0.0014029,              0.0014029
                     18,                0.92928,                0.80571,                 1.2084,                0.52223,                0.65919,                0.63713,                0.42369,                0.93009,                0.88646,                 1.2769,              0.0013864,              0.0013864,              0.0013864
                     19,                0.93635,                0.80217,                 1.1972,                0.75988,                0.76861,                0.76586,                0.47351,                0.97581,                0.81348,                  1.284,              0.0013699,              0.0013699,              0.0013699
                     20,                0.91616,                0.77298,                 1.1949,                0.75431,                0.79257,                0.81684,                0.52498,                0.83818,                0.80612,                 1.2098,              0.0013534,              0.0013534,              0.0013534
                     21,                0.94512,                0.77788,                  1.201,                0.82988,                0.63891,                0.70597,                0.45573,                0.91976,                0.73915,                 1.2241,              0.0013369,              0.0013369,              0.0013369
                     22,                0.88746,                0.74376,                  1.166,                0.76186,                0.75402,                0.74713,                0.45579,                0.90882,                0.85299,                 1.2344,              0.0013204,              0.0013204,              0.0013204
